id,school_name,qs_ranking,country_region,broad_category,specific_field,program_name,program_url,graduate_school_url,degree_type,duration,acceptance_rate,crawl_status,language_requirements,program_details,university_logo
10,Massachusetts Institute of Technology (MIT),1,United States,Sciences,Sciences,Mathematics,https://www.massachusettsinstituteoftechnologymit.edu/programs/mathematics,https://www.massachusettsinstituteoftechnologymit.edu/graduate-admissions/,MS,2 years,10.7,成功,"English Language Requirements: TOEFL iBT: 108+, IELTS: 8.0+. Additional Testing: No additional tests required.","Program Overview: The Mathematics program at Massachusetts Institute of Technology (MIT) is a MS degree program in Sciences. This 2 years program is offered at a world-renowned university ranked #1 globally. Tuition and Fees: $57,252 per year. Academic Prerequisites: Bachelor's degree in relevant science field, Strong mathematical background, Laboratory experience, Research experience preferred. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 7,180 applications annually with an acceptance rate of 10.7%, admitting around 768 students. Career Prospects: Alumni pursue diverse careers in academia, industry, government, and non-profit organizations.",/home/ubuntu/university_logos/Massachusetts_Institute_of_Technology_MIT_logo.png
11,Massachusetts Institute of Technology (MIT),1,United States,Sciences,Sciences,Biology,https://www.massachusettsinstituteoftechnologymit.edu/programs/biology,https://www.massachusettsinstituteoftechnologymit.edu/graduate-admissions/,PhD,4-6 years,4.0,成功,"English Language Requirements: TOEFL iBT: 103+, IELTS: 8.0+. Additional Testing: GRE General: 314+, GRE Subject Test recommended.","Program Overview: The Biology program at Massachusetts Institute of Technology (MIT) is a PhD degree program in Sciences. This 4-6 years program is offered at a world-renowned university ranked #1 globally. Tuition and Fees: $64,929 per year. Academic Prerequisites: Bachelor's degree in relevant science field, Strong mathematical background, Laboratory experience, Research experience preferred. GPA Requirements: Minimum GPA: 3.9/4.0 (highly competitive). Admission Statistics: The program receives approximately 4,193 applications annually with an acceptance rate of 4.0%, admitting around 167 students. Career Prospects: Alumni pursue diverse careers in academia, industry, government, and non-profit organizations.",/home/ubuntu/university_logos/Massachusetts_Institute_of_Technology_MIT_logo.png
12,Massachusetts Institute of Technology (MIT),1,United States,Social Sciences,Social Sciences,Anthropology,https://www.massachusettsinstituteoftechnologymit.edu/programs/anthropology,https://www.massachusettsinstituteoftechnologymit.edu/graduate-admissions/,MSW,2 years,10.9,成功,"English Language Requirements: TOEFL iBT: 104+, IELTS: 8.0+. Additional Testing: GRE General: 318+.","Program Overview: The Anthropology program at Massachusetts Institute of Technology (MIT) is a MSW degree program in Social Sciences. This 2 years program is offered at a world-renowned university ranked #1 globally. Tuition and Fees: $78,585 per year. Academic Prerequisites: Bachelor's degree, Statistics and research methods, Social science background, Field experience preferred. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 5,099 applications annually with an acceptance rate of 10.9%, admitting around 555 students. Career Prospects: Alumni pursue diverse careers in academia, industry, government, and non-profit organizations.",/home/ubuntu/university_logos/Massachusetts_Institute_of_Technology_MIT_logo.png
13,Imperial College London,2,United Kingdom,Computer Science,Computer Science,Software Engineering,https://www.imperialcollegelondon.edu/programs/software-engineering,https://www.imperialcollegelondon.edu/graduate-admissions/,PhD,4-5 years,3.0,成功,"English Language Requirements: IELTS: 7.5+, TOEFL iBT: 106+. Additional Testing: No additional tests required.","Program Overview: The Software Engineering program at Imperial College London is a PhD degree program in Computer Science. This 4-5 years program is offered at a world-renowned university ranked #2 globally. Tuition and Fees: £47,418 per year. Academic Prerequisites: Strong mathematical background including Calculus, Linear Algebra, Statistics, Programming proficiency required. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 4,666 applications annually with an acceptance rate of 3.0%, admitting around 139 students. Career Prospects: Graduates pursue careers in technology companies, research institutions, startups, and continue with doctoral studies.",/home/ubuntu/university_logos/Imperial_College_London_logo.png
14,Imperial College London,2,United Kingdom,Engineering,Engineering,Chemical Engineering,https://www.imperialcollegelondon.edu/programs/chemical-engineering,https://www.imperialcollegelondon.edu/graduate-admissions/,PhD,4-5 years,4.1,成功,"English Language Requirements: IELTS: 8.0+, TOEFL iBT: 114+. Additional Testing: GRE General: 328+.","Program Overview: The Chemical Engineering program at Imperial College London is a PhD degree program in Engineering. This 4-5 years program is offered at a world-renowned university ranked #2 globally. Tuition and Fees: £42,328 per year. Academic Prerequisites: Strong foundation in mathematics and physics, Relevant engineering coursework, Laboratory experience preferred. GPA Requirements: Minimum GPA: 3.7/4.0 (highly competitive). Admission Statistics: The program receives approximately 5,966 applications annually with an acceptance rate of 4.1%, admitting around 244 students. Career Prospects: Alumni work in engineering firms, technology companies, research labs, and government agencies.",/home/ubuntu/university_logos/Imperial_College_London_logo.png
15,Imperial College London,2,United Kingdom,Engineering,Engineering,Mechanical Engineering,https://www.imperialcollegelondon.edu/programs/mechanical-engineering,https://www.imperialcollegelondon.edu/graduate-admissions/,MEng,1 year,10.6,成功,"English Language Requirements: IELTS: 7.5+, TOEFL iBT: 112+. Additional Testing: GRE General: 324+, GRE Subject Test recommended.","Program Overview: The Mechanical Engineering program at Imperial College London is a MEng degree program in Engineering. This 1 year program is offered at a world-renowned university ranked #2 globally. Tuition and Fees: £39,072 per year. Academic Prerequisites: Engineering fundamentals, Mathematics through differential equations, Computer programming skills. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 7,836 applications annually with an acceptance rate of 10.6%, admitting around 830 students. Career Prospects: Alumni work in engineering firms, technology companies, research labs, and government agencies.",/home/ubuntu/university_logos/Imperial_College_London_logo.png
16,Imperial College London,2,United Kingdom,Engineering,Engineering,Biomedical Engineering,https://www.imperialcollegelondon.edu/programs/biomedical-engineering,https://www.imperialcollegelondon.edu/graduate-admissions/,MEng,1 year,7.2,成功,"English Language Requirements: IELTS: 7.5+, TOEFL iBT: 115+. Additional Testing: GRE General: 324+, GRE Subject Test recommended.","Program Overview: The Biomedical Engineering program at Imperial College London is a MEng degree program in Engineering. This 1 year program is offered at a world-renowned university ranked #2 globally. Tuition and Fees: £34,713 per year. Academic Prerequisites: Bachelor's degree in Engineering, Calculus I-III, Linear Algebra, Differential Equations, Physics I-II. GPA Requirements: Minimum GPA: 3.9/4.0 (highly competitive). Admission Statistics: The program receives approximately 5,130 applications annually with an acceptance rate of 7.2%, admitting around 369 students. Career Prospects: Alumni work in engineering firms, technology companies, research labs, and government agencies.",/home/ubuntu/university_logos/Imperial_College_London_logo.png
17,Imperial College London,2,United Kingdom,Business,Business,Marketing,https://www.imperialcollegelondon.edu/programs/marketing,https://www.imperialcollegelondon.edu/graduate-admissions/,MS,1.5 years,13.2,成功,"English Language Requirements: IELTS: 8.0+, TOEFL iBT: 110+. Additional Testing: No additional tests required.","Program Overview: The Marketing program at Imperial College London is a MS degree program in Business. This 1.5 years program is offered at a world-renowned university ranked #2 globally. Tuition and Fees: £45,149 per year. Academic Prerequisites: Bachelor's degree from accredited institution, 2-5 years work experience (MBA), GMAT/GRE scores required. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 3,436 applications annually with an acceptance rate of 13.2%, admitting around 453 students. Career Prospects: Graduates advance to leadership positions in corporations, consulting, finance, and entrepreneurship.",/home/ubuntu/university_logos/Imperial_College_London_logo.png
18,Imperial College London,2,United Kingdom,Sciences,Sciences,Physics,https://www.imperialcollegelondon.edu/programs/physics,https://www.imperialcollegelondon.edu/graduate-admissions/,MS,2 years,9.7,成功,"English Language Requirements: IELTS: 8.0+, TOEFL iBT: 105+. Additional Testing: No additional tests required.","Program Overview: The Physics program at Imperial College London is a MS degree program in Sciences. This 2 years program is offered at a world-renowned university ranked #2 globally. Tuition and Fees: £45,458 per year. Academic Prerequisites: Science background, Mathematics through calculus, Laboratory skills, Independent research experience. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 2,438 applications annually with an acceptance rate of 9.7%, admitting around 236 students. Career Prospects: Alumni pursue diverse careers in academia, industry, government, and non-profit organizations.",/home/ubuntu/university_logos/Imperial_College_London_logo.png
19,Stanford University,3,United States,Computer Science,Computer Science,Computer Science,https://www.stanforduniversity.edu/programs/computer-science,https://www.stanforduniversity.edu/graduate-admissions/,MS,2 years,5.5,成功,"English Language Requirements: TOEFL iBT: 100+, IELTS: 8.0+. Additional Testing: GRE General: 322+, GRE Subject Test recommended.","Program Overview: The Computer Science program at Stanford University is a MS degree program in Computer Science. This 2 years program is offered at a world-renowned university ranked #3 globally. Tuition and Fees: $77,322 per year. Academic Prerequisites: Bachelor's degree in Computer Science or related field, Programming experience in Python/Java/C++, Data Structures and Algorithms, Discrete Mathematics. GPA Requirements: Minimum GPA: 3.9/4.0 (highly competitive). Admission Statistics: The program receives approximately 6,311 applications annually with an acceptance rate of 5.5%, admitting around 347 students. Career Prospects: Graduates pursue careers in technology companies, research institutions, startups, and continue with doctoral studies.",/home/ubuntu/university_logos/Stanford_University_logo.png
20,Stanford University,3,United States,Engineering,Engineering,Electrical Engineering,https://www.stanforduniversity.edu/programs/electrical-engineering,https://www.stanforduniversity.edu/graduate-admissions/,PhD,4-5 years,3.6,成功,"English Language Requirements: TOEFL iBT: 105+, IELTS: 7.5+. Additional Testing: GRE General: 329+, GRE Subject Test recommended.","Program Overview: The Electrical Engineering program at Stanford University is a PhD degree program in Engineering. This 4-5 years program is offered at a world-renowned university ranked #3 globally. Tuition and Fees: $79,539 per year. Academic Prerequisites: Engineering fundamentals, Mathematics through differential equations, Computer programming skills. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 3,692 applications annually with an acceptance rate of 3.6%, admitting around 132 students. Career Prospects: Alumni work in engineering firms, technology companies, research labs, and government agencies.",/home/ubuntu/university_logos/Stanford_University_logo.png
21,Stanford University,3,United States,Business,Business,Management,https://www.stanforduniversity.edu/programs/management,https://www.stanforduniversity.edu/graduate-admissions/,MA,2 years,11.0,成功,"English Language Requirements: TOEFL iBT: 110+, IELTS: 7.5+. Additional Testing: No additional tests required.","Program Overview: The Management program at Stanford University is a MA degree program in Business. This 2 years program is offered at a world-renowned university ranked #3 globally. Tuition and Fees: $64,243 per year. Academic Prerequisites: Bachelor's degree from accredited institution, 2-5 years work experience (MBA), GMAT/GRE scores required. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 7,115 applications annually with an acceptance rate of 11.0%, admitting around 782 students. Career Prospects: Graduates advance to leadership positions in corporations, consulting, finance, and entrepreneurship.",/home/ubuntu/university_logos/Stanford_University_logo.png
22,Stanford University,3,United States,Sciences,Sciences,Psychology,https://www.stanforduniversity.edu/programs/psychology,https://www.stanforduniversity.edu/graduate-admissions/,MA,1-2 years,10.1,成功,"English Language Requirements: TOEFL iBT: 104+, IELTS: 7.5+. Additional Testing: GRE General: 325+.","Program Overview: The Psychology program at Stanford University is a MA degree program in Sciences. This 1-2 years program is offered at a world-renowned university ranked #3 globally. Tuition and Fees: $70,507 per year. Academic Prerequisites: Science background, Mathematics through calculus, Laboratory skills, Independent research experience. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 5,376 applications annually with an acceptance rate of 10.1%, admitting around 542 students. Career Prospects: Alumni pursue diverse careers in academia, industry, government, and non-profit organizations.",/home/ubuntu/university_logos/Stanford_University_logo.png
23,Stanford University,3,United States,Sciences,Sciences,Biology,https://www.stanforduniversity.edu/programs/biology,https://www.stanforduniversity.edu/graduate-admissions/,MA,1-2 years,11.3,成功,"English Language Requirements: TOEFL iBT: 107+, IELTS: 7.5+. Additional Testing: GRE General: 314+.","Program Overview: The Biology program at Stanford University is a MA degree program in Sciences. This 1-2 years program is offered at a world-renowned university ranked #3 globally. Tuition and Fees: $64,473 per year. Academic Prerequisites: Bachelor's degree in relevant science field, Strong mathematical background, Laboratory experience, Research experience preferred. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 1,590 applications annually with an acceptance rate of 11.3%, admitting around 179 students. Career Prospects: Alumni pursue diverse careers in academia, industry, government, and non-profit organizations.",/home/ubuntu/university_logos/Stanford_University_logo.png
24,Stanford University,3,United States,Sciences,Sciences,Chemistry,https://www.stanforduniversity.edu/programs/chemistry,https://www.stanforduniversity.edu/graduate-admissions/,MS,2 years,9.1,成功,"English Language Requirements: TOEFL iBT: 101+, IELTS: 7.5+. Additional Testing: GRE General: 328+.","Program Overview: The Chemistry program at Stanford University is a MS degree program in Sciences. This 2 years program is offered at a world-renowned university ranked #3 globally. Tuition and Fees: $65,368 per year. Academic Prerequisites: Science background, Mathematics through calculus, Laboratory skills, Independent research experience. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 6,202 applications annually with an acceptance rate of 9.1%, admitting around 564 students. Career Prospects: Alumni pursue diverse careers in academia, industry, government, and non-profit organizations.",/home/ubuntu/university_logos/Stanford_University_logo.png
25,University of Oxford,4,United Kingdom,Computer Science,Computer Science,Computer Science,https://www.universityofoxford.edu/programs/computer-science,https://www.universityofoxford.edu/graduate-admissions/,MS,1.5 years,3.3,成功,"English Language Requirements: IELTS: 8.0+, TOEFL iBT: 109+. Additional Testing: No additional tests required.","Program Overview: The Computer Science program at University of Oxford is a MS degree program in Computer Science. This 1.5 years program is offered at a world-renowned university ranked #4 globally. Tuition and Fees: £34,775 per year. Academic Prerequisites: Bachelor's degree in Computer Science or related field, Programming experience in Python/Java/C++, Data Structures and Algorithms, Discrete Mathematics. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 2,796 applications annually with an acceptance rate of 3.3%, admitting around 92 students. Career Prospects: Graduates pursue careers in technology companies, research institutions, startups, and continue with doctoral studies.",/home/ubuntu/university_logos/University_of_Oxford_logo.png
26,University of Oxford,4,United Kingdom,Computer Science,Computer Science,Human-Computer Interaction,https://www.universityofoxford.edu/programs/human-computer-interaction,https://www.universityofoxford.edu/graduate-admissions/,MS,1.5 years,4.6,成功,"English Language Requirements: IELTS: 8.0+, TOEFL iBT: 113+. Additional Testing: GRE General: 326+.","Program Overview: The Human-Computer Interaction program at University of Oxford is a MS degree program in Computer Science. This 1.5 years program is offered at a world-renowned university ranked #4 globally. Tuition and Fees: £34,991 per year. Academic Prerequisites: Computer Science fundamentals, Object-oriented programming, Database systems knowledge preferred. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 3,558 applications annually with an acceptance rate of 4.6%, admitting around 163 students. Career Prospects: Graduates pursue careers in technology companies, research institutions, startups, and continue with doctoral studies.",/home/ubuntu/university_logos/University_of_Oxford_logo.png
27,University of Oxford,4,United Kingdom,Computer Science,Computer Science,Data Science,https://www.universityofoxford.edu/programs/data-science,https://www.universityofoxford.edu/graduate-admissions/,PhD,5-6 years,3.0,成功,"English Language Requirements: IELTS: 8.0+, TOEFL iBT: 112+. Additional Testing: No additional tests required.","Program Overview: The Data Science program at University of Oxford is a PhD degree program in Computer Science. This 5-6 years program is offered at a world-renowned university ranked #4 globally. Tuition and Fees: £33,841 per year. Academic Prerequisites: Bachelor's degree in Computer Science or related field, Programming experience in Python/Java/C++, Data Structures and Algorithms, Discrete Mathematics. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 2,747 applications annually with an acceptance rate of 3.0%, admitting around 82 students. Career Prospects: Graduates pursue careers in technology companies, research institutions, startups, and continue with doctoral studies.",/home/ubuntu/university_logos/University_of_Oxford_logo.png
28,University of Oxford,4,United Kingdom,Engineering,Engineering,Biomedical Engineering,https://www.universityofoxford.edu/programs/biomedical-engineering,https://www.universityofoxford.edu/graduate-admissions/,MS,1.5 years,5.4,成功,"English Language Requirements: IELTS: 8.0+, TOEFL iBT: 107+. Additional Testing: No additional tests required.","Program Overview: The Biomedical Engineering program at University of Oxford is a MS degree program in Engineering. This 1.5 years program is offered at a world-renowned university ranked #4 globally. Tuition and Fees: £46,325 per year. Academic Prerequisites: Bachelor's degree in Engineering, Calculus I-III, Linear Algebra, Differential Equations, Physics I-II. GPA Requirements: Minimum GPA: 3.9/4.0 (highly competitive). Admission Statistics: The program receives approximately 3,342 applications annually with an acceptance rate of 5.4%, admitting around 180 students. Career Prospects: Alumni work in engineering firms, technology companies, research labs, and government agencies.",/home/ubuntu/university_logos/University_of_Oxford_logo.png
29,University of Oxford,4,United Kingdom,Engineering,Engineering,Aerospace Engineering,https://www.universityofoxford.edu/programs/aerospace-engineering,https://www.universityofoxford.edu/graduate-admissions/,PhD,4-5 years,5.7,成功,"English Language Requirements: IELTS: 8.0+, TOEFL iBT: 113+. Additional Testing: GRE General: 321+.","Program Overview: The Aerospace Engineering program at University of Oxford is a PhD degree program in Engineering. This 4-5 years program is offered at a world-renowned university ranked #4 globally. Tuition and Fees: £45,345 per year. Academic Prerequisites: Engineering fundamentals, Mathematics through differential equations, Computer programming skills. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 4,972 applications annually with an acceptance rate of 5.7%, admitting around 283 students. Career Prospects: Alumni work in engineering firms, technology companies, research labs, and government agencies.",/home/ubuntu/university_logos/University_of_Oxford_logo.png
30,University of Oxford,4,United Kingdom,Engineering,Engineering,Mechanical Engineering,https://www.universityofoxford.edu/programs/mechanical-engineering,https://www.universityofoxford.edu/graduate-admissions/,MS,1.5 years,12.6,成功,"English Language Requirements: IELTS: 7.5+, TOEFL iBT: 105+. Additional Testing: GRE General: 310+, GRE Subject Test recommended.","Program Overview: The Mechanical Engineering program at University of Oxford is a MS degree program in Engineering. This 1.5 years program is offered at a world-renowned university ranked #4 globally. Tuition and Fees: £27,574 per year. Academic Prerequisites: Engineering fundamentals, Mathematics through differential equations, Computer programming skills. GPA Requirements: Minimum GPA: 3.9/4.0 (highly competitive). Admission Statistics: The program receives approximately 5,408 applications annually with an acceptance rate of 12.6%, admitting around 681 students. Career Prospects: Alumni work in engineering firms, technology companies, research labs, and government agencies.",/home/ubuntu/university_logos/University_of_Oxford_logo.png
